site_domain,annual_revenue_usd
amazon.com,637959000000
temu.com,393836097000
aliexpress.com,941168000000
ebay.com,10283000000
walmart.com,680985000000
alibaba.com,941168000000
costco.com,254453000000
lowes.com,83674000000
target.com,106566000000
bestbuy.com,41528000000
wayfair.com,11851000000
etsy.com,2808332000
zalando.com,10572500000
uniqlo.com,3103836000000
hm.com,234478000000
currys.co.uk,8476000000
tesco.com,69916000000
next.co.uk,6118100000
nordstrom.com,15016000000
macys.com,23006000000
kohls.com,16221000000
ulta.com,11295654000
newegg.com,1235576000
